HOLT 	Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled.
HOLT 	We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics.
HOLT 	I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people.
HOLT 	Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values.
HOLT 	So, let's begin.
HOLT 	We're calling this opening segment "Achieving Prosperity".
HOLT 	And central to that is jobs.
HOLT 	There are two economic realities in America today.
HOLT 	There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation.
HOLT 	However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck.
HOLT 	Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?
CLINTON 	Well, thank you, Lester, and thanks to Hofstra for hosting us.
CLINTON 	The central question in this election is really what kind of country we want to be and what kind of future we'll build together.
CLINTON 	Today is my granddaughter's second birthday, so I think about this a lot.
CLINTON 	First, we have to build an economy that works for everyone, not just those at the top.
CLINTON 	That means we need new jobs, good jobs, with rising incomes.
CLINTON 	I want us to invest in you.
CLINTON 	I want us to invest in your future.
CLINTON 	That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business.
CLINTON 	We also have to make the economy fairer.
CLINTON 	That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.
CLINTON 	I also want to see more companies do profit-sharing.
CLINTON 	If you help create the profits, you should be able to share in them, not just the executives at the top.
CLINTON 	And I want us to do more to support people who are struggling to balance family and work.
CLINTON 	I've heard from so many of you about the difficult choices you face and the stresses that you're under.
CLINTON 	So let's have paid family leave, earned sick days.
CLINTON 	Let's be sure we have affordable child care and debt-free college.
CLINTON 	How are we going to do it?
CLINTON 	We're going to do it by having the wealthy pay their fair share and close the corporate loopholes.
CLINTON 	Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you.
CLINTON 	We're going to have a debate where we are talking about the important issues facing our country.
CLINTON 	You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better.
CLINTON 	I hope that I will be able to earn your vote on November 8th.
HOLT 	Secretary Clinton, thank you.
HOLT 	Mr. Trump, the same question to you.
HOLT 	It's about putting money — more money into the pockets of American workers.
HOLT 	You have up to two minutes.
TRUMP 	Thank you, Lester.
TRUMP 	Our jobs are fleeing the country.
TRUMP 	They're going to Mexico.
TRUMP 	They're going to many other countries.
TRUMP 	You look at what China is doing to our country in terms of making our product.
TRUMP 	They're devaluing their currency, and there's nobody in our government to fight them.
TRUMP 	And we have a very good fight.
TRUMP 	And we have a winning fight.
TRUMP 	Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.
TRUMP 	So we're losing our good jobs, so many of them.
TRUMP 	When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world.
TRUMP 	They're building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants.
TRUMP 	With the United States, as he said, not so much.
TRUMP 	So Ford is leaving.
TRUMP 	You see that, their small car division leaving.
TRUMP 	Thousands of jobs leaving Michigan, leaving Ohio.
TRUMP 	They're all leaving.
TRUMP 	And we can't allow it to happen anymore.
TRUMP 	As far as child care is concerned and so many other things, I think Hillary and I agree on that.
TRUMP 	We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later.
TRUMP 	But we have to stop our jobs from being stolen from us.
TRUMP 	We have to stop our companies from leaving the United States and, with it, firing all of their people.
TRUMP 	All you have to do is take a look at Carrier air conditioning in Indianapolis.
TRUMP 	They left — fired 1,400 people.
TRUMP 	They're going to Mexico.
TRUMP 	So many hundreds and hundreds of companies are doing this.
TRUMP 	We cannot let it happen.
TRUMP 	Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses.
TRUMP 	That's going to be a job creator like we haven't seen since Ronald Reagan.
TRUMP 	It's going to be a beautiful thing to watch.
TRUMP 	Companies will come.
TRUMP 	They will build.
TRUMP 	They will expand.
TRUMP 	New companies will start.
TRUMP 	And I look very, very much forward to doing it.
TRUMP 	We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.
HOLT 	Secretary Clinton, would you like to respond?
CLINTON 	Well, I think that trade is an important issue.
CLINTON 	Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent.
CLINTON 	And we need to have smart, fair trade deals.
CLINTON 	We also, though, need to have a tax system that rewards work and not just financial transactions.
CLINTON 	And the kind of plan that Donald has put forth would be trickle-down economics all over again.
CLINTON 	In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.
CLINTON 	I call it trumped-up trickle-down, because that's exactly what it would be.
CLINTON 	That is not how we grow the economy.
CLINTON 	We just have a different view about what's best for growing the economy, how we make investments that will actually produce jobs and rising incomes.
CLINTON 	I think we come at it from somewhat different perspectives.
CLINTON 	I understand that.
CLINTON 	You know, Donald was very fortunate in his life, and that's all to his benefit.
